,Latitude,Longitude
232,32.07499,34.799384
233,32.063751,34.804612
234,32.074599,34.783916
235,32.061884,34.805325
236,32.06867,34.797426
237,32.080836,34.784934
238,32.074151,34.770417
239,32.074077,34.770511
240,32.057131,34.793789
241,32.072096,34.779977
242,32.061778,34.788335
243,32.06236,34.784509
244,32.067202,34.793221
245,32.069429,34.79381
246,32.062982,34.769286
247,32.064102,34.770081
248,32.066647,34.78582
249,32.067818,34.786137
250,32.078764,34.794623
251,32.066504,34.784635
252,32.064458,34.774039
253,32.06986,34.795562
254,32.073472,34.796375
255,32.065152,34.782351
256,32.076986,34.78467
257,32.082308,34.78106
258,32.077604,34.771946
259,32.087057,34.782311
260,32.070525,34.786887
261,32.072616,34.779897
262,32.074475,34.795669
263,32.060123,34.771603
264,32.074127,34.76583
265,32.065219,34.792164
266,32.062114,34.791705
267,32.075066,34.783164
268,32.110483,34.802174
269,32.073873,34.791067
270,32.062832,34.782229
271,32.062367,34.779503
272,32.072857,34.789405
273,32.062716,34.762865
274,32.063427,34.774798
275,32.073934,34.798736
276,32.114578,34.825831
277,32.064121,34.787944
278,32.061409,34.783532
279,32.06119,34.774968
280,32.079385,34.795503
281,32.078574,34.787064
282,32.052934,34.754709
283,32.075215,34.775697
284,32.063684,34.775317
285,32.06165,34.770526
286,32.061504,34.771349
287,32.062463,34.771813
288,32.062791,34.780848
289,32.063698,34.781037
290,32.056457,34.779504
291,32.075348,34.783799
292,32.078261,34.790532
293,32.084432,34.786971
294,32.075597,34.767424
295,32.064207,34.7731
296,32.077345,34.766709
297,32.061574,34.779398
298,32.111423,34.839138
299,32.108759,34.838763
300,32.109702,34.84048
301,32.070278,34.794943
302,32.106673,34.835019
303,32.039545,34.747172
304,32.064594,34.774329
305,32.090069,34.779427
306,32.037124,34.746414
307,32.062563,34.790517
308,32.070455,34.786549
309,32.070423,34.787309
310,32.06458,34.786677
311,32.06258,34.790519
312,32.090764,34.789138
313,32.088752,34.79735
314,32.053977,34.759691
315,32.122882,34.816512
316,32.084899,34.786045
317,32.07158,34.78209
318,32.074569,34.783235
319,32.079532,34.771557
320,32.072716,34.782101
321,32.089224,34.770662
322,32.125903,34.830327
323,32.079596,34.781549
324,32.125123,34.801148
325,32.068123,34.771893
326,32.112489,34.796776
327,32.079555,34.774384
328,32.073654,34.784553
329,32.062867,34.7694
330,32.074139,34.770023
331,32.053644,34.810408
332,32.055984,34.772899
333,32.044856,34.809489
334,32.052872,34.799538
335,32.047112,34.789571
336,32.03413,34.745842
337,32.077499,34.789129
