LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_thou,men_thou,women_thou,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
נגבה,315,1939,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,0.6,0.3,0.3,1,יהודים,93.4,17.9,69.8,12.3,18.2,72.1,9.7,17.7,67.4,14.9,477.4,33,29,39,47.8,52.2,47.3,52.7,48.3,51.7,80.4,19.6,39.6,33.2,25.6,1.7,42.6,1.9,3.7,40.6,11.3,501
נהורה,309,1956,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,50,מועצה אזורית לכיש,1.1,0.5,0.5,1,יהודים,99.4,38.9,58.9,2.2,40.8,57,2.2,36.9,60.8,2.2,841.4,23,23,24,62.9,37.1,64.5,35.5,61.4,38.6,89.4,10.6,56.1,29.8,7.9,6.3,49.3,12.1,26.2,9.7,2.7,501
נהלל,80,1921,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,9,מועצה אזורית עמק יזרעאל,0.8,0.4,0.4,1,יהודים,92.7,42.9,45.3,11.8,46.4,43.4,10.2,38.9,47.5,13.7,1378.4,22,20,26,43.8,56.2,41.2,58.8,46.8,53.2,89.2,10.8,37.9,17.6,36.4,8.2,58,3.8,7.6,27.5,3.2,501
נוב,4304,1973,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,310,מושב,71,מועצה אזורית גולן,0.6,0.3,0.3,1,יהודים,100,39.7,58.3,2.1,39.5,57.9,2.7,39.8,58.6,1.6,893.5,22,25,20,64.2,35.8,73.8,26.2,56.7,43.3,90.4,9.6,30.7,42.5,21.8,5,59,4,7.9,20.4,8.7,501
נווה דניאל,3725,1982,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,76,מועצה אזורית גוש עציון,1.7,0.8,0.8,1,יהודים,100,52,46.6,1.4,52.5,46.3,1.2,51.4,46.9,1.6,1319.9,17,16,17,67.9,32.1,71.1,28.9,65,35,69.6,30.4,2.7,23.9,29.1,44.3,37.3,2.5,6,20.2,34,501
נווה זיו,1314,2000,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,52,מועצה אזורית מעלה יוסף,0.7,0.4,0.4,1,יהודים,97.5,46.1,53.1,0.8,45,54.3,0.7,47.1,51.9,1,971.9,21,23,19,70.5,29.5,69.9,30.1,71.1,28.9,89.6,10.4,34.2,38,13.6,14.2,53.9,8.5,14.8,20.3,2.5,501
נווה ימין,686,1949,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,20,מועצה אזורית דרום השרון,1,0.5,0.5,1,יהודים,97,24.4,66.3,9.2,25,65.7,9.2,23.8,67,9.2,554.2,32,32,31,57.2,42.8,55.1,44.9,59.5,40.5,80.4,19.6,71.7,18.7,7.2,2.5,40.7,18.2,25.6,13.3,2.3,501
נווה ירק,858,1951,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,20,מועצה אזורית דרום השרון,1.1,0.6,0.6,1,יהודים,99.7,35.2,57,7.8,36.6,54.9,8.6,33.9,59,7.1,809.1,31,31,31,68.1,31.9,69.4,30.6,66.9,33.1,84.9,15.1,64.4,19.9,9.5,6.2,50.2,7.3,3.6,35.1,3.8,501
נווה מבטח,827,1950,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,0.6,0.3,0.3,1,יהודים,99.6,32.6,61.8,5.6,35.4,59.5,5.1,29.7,64.1,6.2,683.3,30,29,30,62.1,37.9,64.6,35.4,59.9,40.1,86.9,13.1,69.9,21.4,4.4,4.4,50.4,10.8,9,27.6,2.3,501
נוקדים,3726,1982,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,76,מועצה אזורית גוש עציון,1.2,0.7,0.5,1,יהודים,96.9,44,53.9,2.1,42.2,55.6,2.2,46.4,51.6,2,1226.7,19,19,20,52.5,47.5,42.5,57.5,67.8,32.2,75.5,24.5,1.4,22.7,54.5,21.4,40.5,4.4,9.7,30.3,15,501
